State,Atmospheric Condition,Crash Date,Fatalities in crash,Roadway,Age,Alcohol Results,Person Type,Drug Involvement,Race,Gender,Injury Severity,Crash Date.year,Crash Date.month,Crash Date.day-of-month,Crash Date.day-of-week,Alcohol Results Cleaned,Race Cleaned,Gender Cleaned,Drug Involvment Clean,Age Cleaned,Roadway Category,Alcohol Category
Virginia,Clear,1/14/2011,1,Rural-Minor Arterial,34,0.16,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,14,5,0.16,White,Male,Unknown,34,Rural,1
Washington,Cloudy,1/23/2011,1,Urban-Minor Arterial,21,0.07,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,23,7,0.07,White,Female,Unknown,21,Urban,1
Washington,Cloudy,1/23/2011,1,Urban-Minor Arterial,52,0.11,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,23,7,0.11,Unknown,Male,Unknown,52,Urban,1
West Virginia,Snow,1/11/2011,1,Rural-Principal Arterial-Other,48,0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,11,2,0,White,Male,Unknown,48,Rural,0
Wisconsin,Snow,1/12/2011,1,Rural-Principal Arterial-Other,41,0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,12,3,0,Unknown,Male,No,41,Rural,0
Alabama,Rain,1/1/2011,1,Rural-Principal Arterial-Other,49,,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6,0,Unknown,Male,No,49,Rural,0
Arizona,Clear,1/15/2011,1,Rural-Principal Arterial-Other,39,,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),2011,1,15,6,0,Unknown,Male,Unknown,39,Rural,0
Arkansas,Snow,1/9/2011,1,Rural-Principal Arterial-Other,5,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Possible Injury (C),2011,1,9,7,0,Unknown,Male,Unknown,5,Rural,0
Arkansas,Snow,1/9/2011,1,Rural-Principal Arterial-Other,15,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,9,7,0,Unknown,Female,Unknown,15,Rural,0
Arkansas,Snow,1/9/2011,1,Rural-Principal Arterial-Other,20,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,9,7,0,Unknown,Female,Unknown,20,Rural,0
Arkansas,Snow,1/9/2011,1,Rural-Principal Arterial-Other,31,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,9,7,0,White,Male,Unknown,31,Rural,0
Arkansas,Snow,1/9/2011,1,Rural-Principal Arterial-Other,58,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,9,7,0,Unknown,Female,Unknown,58,Rural,0
Arkansas,Snow,1/9/2011,1,Rural-Principal Arterial-Other,60,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,9,7,0,Unknown,Male,Unknown,60,Rural,0
California,Rain,1/1/2011,1,Urban-Principal Arterial-Interstate,24,0,Passenger of a Motor Vehicle In-Transport,Not Reported,\N,Female,Fatal Injury (K),2011,1,1,6,0,Unknown,Female,Unknown,24,Urban,0
California,Rain,1/1/2011,1,Urban-Principal Arterial-Interstate,29,0,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,1,6,0,Unknown,Female,Unknown,29,Urban,0
California,Rain,1/1/2011,1,Urban-Principal Arterial-Interstate,41,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,1,6,0,Unknown,Female,Unknown,41,Urban,0
Colorado,Clear,1/15/2011,1,Urban-Local Road or Street,47,0.23,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,15,6,0.23,White,Male,No,47,Urban,1
Connecticut,Clear,1/16/2011,1,Urban-Minor Arterial,84,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,16,7,0,Unknown,Female,Unknown,84,Urban,0
District of Columbia,Clear,5/24/2011,1,Urban-Local Road or Street,27,0.02,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),2011,5,24,2,0.02,Black,Male,No,27,Urban,1
District of Columbia,Clear,5/24/2011,1,Urban-Local Road or Street,30,,Driver of a Motor Vehicle In-Transport,No,,Female,Possible Injury (C),2011,5,24,2,0,Unknown,Female,No,30,Urban,0
Florida,Rain,1/5/2011,1,Rural-Local Road or Street,18,0,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),2011,1,5,3,0,Black,Male,No,18,Rural,0
Florida,Rain,1/5/2011,1,Rural-Local Road or Street,23,,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,5,3,0,Unknown,Male,No,23,Rural,0
Hawaii,Clear,1/17/2011,1,Rural-Local Road or Street,21,0.11,Driver of a Motor Vehicle In-Transport,Unknown,Japanese,Male,Fatal Injury (K),2011,1,17,1,0.11,Japanese,Male,Unknown,21,Rural,1
Idaho,Cloudy,2/18/2011,1,Rural-Minor Arterial,26,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,2,18,5,0,Unknown,Male,Unknown,26,Rural,0
Idaho,Cloudy,2/18/2011,1,Rural-Minor Arterial,39,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,2,18,5,0,Unknown,Male,Unknown,39,Rural,0
Idaho,Cloudy,2/18/2011,1,Rural-Minor Arterial,46,,Driver of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,2,18,5,0,Unknown,Female,No,46,Rural,0
Idaho,Cloudy,2/18/2011,1,Rural-Minor Arterial,49,0.21,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,2,18,5,0.21,White,Male,No,49,Rural,1
Idaho,Cloudy,2/18/2011,1,Rural-Minor Arterial,49,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,2,18,5,0,Unknown,Male,Unknown,49,Rural,0
Indiana,Snow,1/6/2011,1,Rural-Principal Arterial-Interstate,64,0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,6,4,0,Unknown,Male,No,64,Rural,0
Indiana,Snow,1/6/2011,1,Rural-Principal Arterial-Interstate,74,,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,6,4,0,White,Male,Unknown,74,Rural,0
Kansas,Clear,1/14/2011,1,Urban-Minor Arterial,7,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,14,5,0,Unknown,Male,Unknown,7,Urban,0
Kansas,Clear,1/14/2011,1,Urban-Minor Arterial,40,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,14,5,0,Unknown,Female,Unknown,40,Urban,0
Kentucky,Clear,1/14/2011,1,Urban-Local Road or Street,51,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,14,5,0,White,Male,Unknown,51,Urban,0
Louisiana,Rain,1/15/2011,1,Rural-Minor Collector,35,0.11,Pedestrian,Unknown,White,Male,Fatal Injury (K),2011,1,15,6,0.11,White,Male,Unknown,35,Rural,1
Maine,Clear,3/8/2011,1,Urban-Collector,82,0.01,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,3,8,2,0.01,White,Male,Unknown,82,Urban,1
Maryland,Clear,1/13/2011,1,Rural-Minor Arterial,41,0,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),2011,1,13,4,0,White,Male,Yes,41,Rural,0
Minnesota,Snow,1/24/2011,1,Rural-Minor Collector,43,0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,24,1,0,White,Male,Unknown,43,Rural,0
Mississippi,Clear,1/8/2011,1,Rural-Principal Arterial-Interstate,52,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,8,6,0,Unknown,Male,No,52,Rural,0
Mississippi,Clear,1/8/2011,1,Rural-Principal Arterial-Interstate,52,,Pedestrian,No,American Indian (includes Aleuts and Eskimos),Female,Fatal Injury (K),2011,1,8,6,0,American Indian (includes Aleuts and Eskimos),Female,No,52,Rural,0
Missouri,Snow,1/10/2011,1,Rural-Principal Arterial-Interstate,58,0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,10,1,0,Unknown,Male,Unknown,58,Rural,0
Missouri,Snow,1/10/2011,1,Rural-Principal Arterial-Interstate,65,,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,10,1,0,White,Female,Unknown,65,Rural,0
Montana,Clear,2/21/2011,2,Rural-Principal Arterial-Other,9,,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,2,21,1,0,White,Male,No,9,Rural,0
Montana,Clear,2/21/2011,2,Rural-Principal Arterial-Other,14,,Passenger of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,2,21,1,0,Unknown,Male,No,14,Rural,0
Montana,Clear,2/21/2011,2,Rural-Principal Arterial-Other,45,0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,2,21,1,0,White,Male,No,45,Rural,0
Montana,Clear,2/21/2011,2,Rural-Principal Arterial-Other,81,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,2,21,1,0,Unknown,Male,No,81,Rural,0
New Hampshire,Clear,3/18/2011,1,Rural-Principal Arterial-Interstate,12,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,3,18,5,0,Unknown,Male,Unknown,12,Rural,0
New Jersey,Blowing Snow,1/9/2011,1,Urban-Minor Arterial,61,0.22,Pedestrian,No,White,Male,Fatal Injury (K),2011,1,9,7,0.22,White,Male,No,61,Urban,1
New Mexico,Clear,1/21/2011,1,Rural-Principal Arterial-Other,24,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,21,5,0,Unknown,Female,Unknown,24,Rural,0
New Mexico,Clear,1/21/2011,1,Rural-Principal Arterial-Other,30,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,21,5,0,Unknown,Female,Unknown,30,Rural,0
New York,Cloudy,1/12/2011,1,Urban-Minor Arterial,51,,Driver of a Motor Vehicle In-Transport,Not Reported,Unknown,Male,Fatal Injury (K),2011,1,12,3,0,Unknown,Male,Unknown,51,Urban,0
North Carolina,Clear,1/28/2011,1,Rural-Minor Arterial,46,0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,28,5,0,White,Male,No,46,Rural,0
Oregon,Clear,1/15/2011,1,Rural-Major Collector,21,0.23,Passenger of a Motor Vehicle In-Transport,Unknown,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),2011,1,15,6,0.23,American Indian (includes Aleuts and Eskimos),Male,Unknown,21,Rural,1
Oregon,Clear,1/15/2011,1,Rural-Major Collector,30,,Passenger of a Motor Vehicle In-Transport,Unknown,,Female,Non-incapacitating Evident Injury (B),2011,1,15,6,0,Unknown,Female,Unknown,30,Rural,0
Rhode Island,Clear,3/24/2011,1,Urban-Other Principal Arterial,52,0.1,Pedestrian,Not Reported,White,Male,Fatal Injury (K),2011,3,24,4,0.1,White,Male,Unknown,52,Urban,1
South Carolina,Clear,1/15/2011,1,Rural-Local Road or Street,45,0.1,Pedestrian,Not Reported,Black,Female,Fatal Injury (K),2011,1,15,6,0.1,Black,Female,Unknown,45,Rural,1
South Carolina,Clear,1/15/2011,1,Rural-Local Road or Street,45,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,15,6,0,Unknown,Female,Unknown,45,Rural,0
South Dakota,Clear,3/20/2011,1,Urban-Minor Arterial,23,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,3,20,7,0,Unknown,Male,Unknown,23,Urban,0
South Dakota,Clear,3/20/2011,1,Urban-Minor Arterial,32,0.31,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,3,20,7,0.31,White,Male,Unknown,32,Urban,1
Tennessee,Clear,1/22/2011,1,Rural-Principal Arterial-Other,44,0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,22,6,0,Unknown,Male,No,44,Rural,0
Tennessee,Clear,1/22/2011,1,Rural-Principal Arterial-Other,64,0,Pedestrian,Unknown,White,Male,Fatal Injury (K),2011,1,22,6,0,White,Male,Unknown,64,Rural,0
Texas,Cloudy,1/3/2011,1,Urban-Local Road or Street,62,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,3,1,0,Unknown,Male,Unknown,62,Urban,0
Vermont,Cloudy,4/18/2011,1,Rural-Major Collector,41,0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,4,18,1,0,Unknown,Male,No,41,Rural,0
Virginia,Clear,1/14/2011,1,Rural-Principal Arterial-Other,37,,Driver of a Motor Vehicle In-Transport,No,,Female,Incapacitating Injury (A),2011,1,14,5,0,Unknown,Female,No,37,Rural,0
Washington,Clear,1/23/2011,1,Urban-Local Road or Street,31,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,23,7,0,Unknown,Female,Unknown,31,Urban,0
Wisconsin,Cloudy,1/12/2011,1,Rural-Major Collector,76,0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,12,3,0,White,Male,Unknown,76,Rural,0
Wyoming,Clear,3/1/2011,1,Urban-Collector,71,,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,3,1,2,0,White,Female,No,71,Urban,0
Alabama,Clear,1/1/2011,1,Urban-Collector,47,0.27,Pedestrian,Unknown,White,Male,Fatal Injury (K),2011,1,1,6,0.27,White,Male,Unknown,47,Urban,1
Alabama,Clear,1/1/2011,1,Urban-Collector,,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6,0,Unknown,Female,Unknown,Unknown,Urban,0
Arizona,Clear,1/16/2011,1,Urban-Minor Arterial,29,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,16,7,0,Unknown,Male,No,29,Urban,0
Arizona,Clear,1/16/2011,1,Urban-Minor Arterial,29,0.18,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),2011,1,16,7,0.18,Unknown,Male,No,29,Urban,1
Arizona,Clear,1/16/2011,1,Urban-Minor Arterial,43,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,16,7,0,Unknown,Male,Unknown,43,Urban,0
Arkansas,Clear,1/10/2011,1,Rural-Major Collector,50,0.21,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,10,1,0.21,White,Male,Unknown,50,Rural,1
Colorado,Clear,1/16/2011,1,Rural-Principal Arterial-Interstate,34,0,Driver of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,16,7,0,Unknown,Female,No,34,Rural,0
Connecticut,Clear,2/28/2011,1,Rural-Major Collector,32,0.23,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,2,28,1,0.23,White,Male,No,32,Rural,1
Florida,Clear,1/5/2011,2,Urban-Principal Arterial-Interstate,35,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,5,3,0,Unknown,Male,Unknown,35,Urban,0
Florida,Clear,1/5/2011,2,Urban-Principal Arterial-Interstate,48,0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,5,3,0,White,Male,No,48,Urban,0
Florida,Clear,1/5/2011,2,Urban-Principal Arterial-Interstate,48,,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,5,3,0,White,Female,Unknown,48,Urban,0
Florida,Clear,1/5/2011,2,Urban-Principal Arterial-Interstate,72,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,5,3,0,Unknown,Female,Unknown,72,Urban,0
Florida,Clear,1/5/2011,2,Urban-Principal Arterial-Interstate,74,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,5,3,0,Unknown,Male,Unknown,74,Urban,0
Georgia,Rain,1/5/2011,1,Rural-Local Road or Street,38,0,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,5,3,0,White,Female,No,38,Rural,0
Georgia,Rain,1/5/2011,1,Rural-Local Road or Street,,,Passenger of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,5,3,0,Unknown,Male,No,Unknown,Rural,0
Hawaii,Clear,1/23/2011,1,Rural-Minor Arterial,17,0.21,Driver of a Motor Vehicle In-Transport,Unknown,Hawaiian (includes Part-Hawaiian),Male,Fatal Injury (K),2011,1,23,7,0.21,Hawaiian (includes Part-Hawaiian),Male,Unknown,17,Rural,1
Hawaii,Clear,1/23/2011,1,Rural-Minor Arterial,17,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,23,7,0,Unknown,Male,Unknown,17,Rural,0
Illinois,Snow,1/11/2011,1,Urban-Principal Arterial-Interstate,37,0,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,11,2,0,Unknown,Male,No,37,Urban,0
Iowa,Clear,1/15/2011,1,Rural-Local Road or Street,53,,Pedestrian,Not Reported,White,Male,Fatal Injury (K),2011,1,15,6,0,White,Male,Unknown,53,Rural,0
Kansas,Clear,1/15/2011,1,Rural-Minor Arterial,39,0.1,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,15,6,0.1,White,Male,No,39,Rural,1
Kentucky,Cloudy,1/16/2011,1,Urban-Other Principal Arterial,26,0.21,Driver of a Motor Vehicle In-Transport,Yes,,Male,Incapacitating Injury (A),2011,1,16,7,0.21,Unknown,Male,Yes,26,Urban,1
Louisiana,Clear,1/21/2011,1,Rural-Minor Arterial,42,0.13,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),2011,1,21,5,0.13,White,Female,Unknown,42,Rural,1
Maine,Cloudy,2/14/2011,1,Rural-Local Road or Street,28,0,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,2,14,1,0,Unknown,Female,Unknown,28,Rural,0
Maine,Cloudy,2/14/2011,1,Rural-Local Road or Street,47,0,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,2,14,1,0,Unknown,Female,Unknown,47,Rural,0
Maryland,Clear,1/15/2011,1,Rural-Minor Arterial,25,0.01,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,15,6,0.01,White,Male,No,25,Rural,1
Maryland,Clear,1/15/2011,1,Rural-Minor Arterial,55,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,15,6,0,Unknown,Male,No,55,Rural,0
Michigan,Snow,1/9/2011,1,Rural-Principal Arterial-Other,18,0,Driver of a Motor Vehicle In-Transport,No,,Male,Incapacitating Injury (A),2011,1,9,7,0,Unknown,Male,No,18,Rural,0
Maine,Rain,1/19/2011,1,Rural-Major Collector,20,0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,19,3,0,Unknown,Male,Unknown,20,Rural,0
Massachusetts,"Fog, Smog, Smoke",5/29/2011,1,Urban-Principal Arterial-Interstate,40,0.15,Pedestrian,Not Reported,White,Female,Fatal Injury (K),2011,5,29,7,0.15,White,Female,Unknown,40,Urban,1
Michigan,Snow,1/3/2011,1,Urban-Other Principal Arterial,21,0.18,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,3,1,0.18,White,Male,No,21,Urban,1
Minnesota,Clear,1/9/2011,1,Rural-Principal Arterial-Other,40,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,9,7,0,Unknown,Male,No,40,Rural,0
Nebraska,Clear,1/6/2011,1,Urban-Local Road or Street,83,,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,6,4,0,White,Female,Unknown,83,Urban,0
New Hampshire,Clear,1/7/2011,1,Rural-Major Collector,54,0,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),2011,1,7,5,0,White,Male,Yes,54,Rural,0
New Hampshire,Clear,1/7/2011,1,Rural-Major Collector,64,0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,7,5,0,Unknown,Male,No,64,Rural,0
New Jersey,Clear,1/14/2011,1,Rural-Major Collector,57,0.41,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),2011,1,14,5,0.41,White,Male,Yes,57,Rural,1
New York,Rain,1/19/2011,2,Urban-Other Principal Arterial,70,0,Driver of a Motor Vehicle In-Transport,Not Reported,Unknown,Male,Fatal Injury (K),2011,1,19,3,0,Unknown,Male,Unknown,70,Urban,0
North Dakota,Cloudy,1/6/2011,1,Rural-Principal Arterial-Other,75,,Passenger of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,6,4,0,Unknown,Female,No,75,Rural,0
Oklahoma,Clear,1/3/2011,1,Rural-Principal Arterial-Other,34,,Driver of a Motor Vehicle In-Transport,No,,Male,Possible Injury (C),2011,1,3,1,0,Unknown,Male,No,34,Rural,0
Oklahoma,Clear,1/3/2011,1,Rural-Principal Arterial-Other,64,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,3,1,0,Unknown,Female,Unknown,64,Rural,0
Oregon,Cloudy,1/4/2011,1,Urban-Other Principal Arterial,38,0.34,Pedestrian,Unknown,Black,Male,Fatal Injury (K),2011,1,4,2,0.34,Black,Male,Unknown,38,Urban,1
Pennsylvania,Clear,1/4/2011,1,Urban-Other Principal Arterial,19,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,4,2,0,Unknown,Female,Unknown,19,Urban,0
South Carolina,Clear,1/1/2011,1,Rural-Local Road or Street,35,0.07,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),2011,1,1,6,0.07,Black,Male,Unknown,35,Rural,1
South Dakota,Cloudy,2/6/2011,1,Rural-Principal Arterial-Interstate,2,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,2,6,7,0,Unknown,Male,Unknown,2,Rural,0
South Dakota,Cloudy,2/6/2011,1,Rural-Principal Arterial-Interstate,20,0,Driver of a Motor Vehicle In-Transport,No,,Female,Possible Injury (C),2011,2,6,7,0,Unknown,Female,No,20,Rural,0
Tennessee,Clear,1/3/2011,1,Rural-Principal Arterial-Other,60,,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,3,1,0,White,Male,Unknown,60,Rural,0
Texas,Clear,1/1/2011,1,Rural-Local Road or Street,25,0.2,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,1,6,0.2,White,Male,No,25,Rural,1
Utah,Clear,1/22/2011,2,Rural-Minor Arterial,32,,Passenger of a Motor Vehicle In-Transport,No,,Male,Possible Injury (C),2011,1,22,6,0,Unknown,Male,No,32,Rural,0
Virginia,Clear,1/8/2011,1,Urban-Collector,73,0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,8,6,0,White,Male,Unknown,73,Urban,0
Washington,Clear,1/15/2011,1,Rural-Principal Arterial-Other,17,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Possible Injury (C),2011,1,15,6,0,Unknown,Male,Unknown,17,Rural,0
West Virginia,Clear,1/6/2011,1,Rural-Minor Arterial,19,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,6,4,0,Unknown,Female,Unknown,19,Rural,0
West Virginia,Clear,1/6/2011,1,Rural-Minor Arterial,66,,Driver of a Motor Vehicle In-Transport,No,,Male,Possible Injury (C),2011,1,6,4,0,Unknown,Male,No,66,Rural,0
Wyoming,Cloudy,2/4/2011,1,Rural-Principal Arterial-Interstate,24,0.34,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),2011,2,4,5,0.34,White,Female,Unknown,24,Rural,1
Alabama,Clear,1/8/2011,1,Urban-Minor Arterial,23,,Driver of a Motor Vehicle In-Transport,No,Black,Female,Fatal Injury (K),2011,1,8,6,0,Black,Female,No,23,Urban,0
Arkansas,Clear,1/7/2011,1,Urban-Local Road or Street,33,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,7,5,0,White,Male,Unknown,33,Urban,0
Arkansas,Clear,1/7/2011,1,Urban-Local Road or Street,,,Persons In/On Buildings,Not Reported,,Female,"Injured, Severity Unknown",2011,1,7,5,0,Unknown,Female,Unknown,Unknown,Urban,0
Connecticut,Clear,1/24/2011,1,Urban-Collector,17,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,24,1,0,Unknown,Female,Unknown,17,Urban,0
Connecticut,Clear,1/24/2011,1,Urban-Collector,63,0,Driver of a Motor Vehicle In-Transport,Not Reported,\N,Female,Fatal Injury (K),2011,1,24,1,0,Unknown,Female,Unknown,63,Urban,0
Delaware,Clear,2/3/2011,1,Rural-Principal Arterial-Other,56,,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),2011,2,3,4,0,White,Female,Yes,56,Rural,0
District of Columbia,Clear,3/1/2011,1,Urban-Principal Arterial-Interstate,24,0,Driver of a Motor Vehicle In-Transport,No,Black,Female,Fatal Injury (K),2011,3,1,2,0,Black,Female,No,24,Urban,0
District of Columbia,Clear,3/1/2011,1,Urban-Principal Arterial-Interstate,64,,Occupant of a Motor Vehicle Not In- Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,3,1,2,0,Unknown,Male,Unknown,64,Urban,0
Florida,Cloudy,1/3/2011,1,Rural-Principal Arterial-Interstate,1,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,3,1,0,Unknown,Female,Unknown,1,Rural,0
Georgia,Rain,1/2/2011,2,Urban-Unknown Urban,22,,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),2011,1,2,7,0,Black,Male,Unknown,22,Urban,0
Hawaii,Clear,1/1/2011,1,Rural-Major Collector,16,0,Driver of a Motor Vehicle In-Transport,Unknown,,Male,No Injury (O),2011,1,1,6,0,Unknown,Male,Unknown,16,Rural,0
Hawaii,Clear,1/1/2011,1,Rural-Major Collector,70,0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,1,6,0,White,Male,Unknown,70,Rural,0
Illinois,Clear,1/7/2011,1,Rural-Local Road or Street,30,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,7,5,0,Unknown,Female,Unknown,30,Rural,0
